subject,theta_fooof,alpha_fooof,exponent,ratio_fooof,pci_fooof,conv_fooof
S049R02,7.052153372179559,11.015603359005645,1.8386025237546972,1.5620198225497655,1.2378748303836071,0.22404194131255176
S050R02,7.375024202193311,10.464898071918547,1.250092715516061,1.4189645735408323,0.8229385840756223,0.27856131894587666
S051R02,,12.889120735296622,1.4327233872887652,,,
S052R02,7.213259758776458,10.195249072599498,1.8987328538115646,1.413403844245983,0.8126478453248437,0.2871921507714373
S053R02,6.605364366577893,10.42233320901358,1.2568759868838244,1.5778589386755029,1.3150457043039363,0.23164401609064839
S054R02,6.893009159462014,9.66721150262508,1.7062411367377404,1.4024660752633593,0.7931771989681267,0.30541789883209947
S055R02,7.436222534788912,9.940528385821507,1.552548292919309,1.336771235572455,0.6940690008364462,0.3328555911364001
S056R02,6.909923288007775,10.018397328876942,1.618817040559283,1.4498565195743849,0.8855440759261834,0.2771254521091502
S057R02,7.568022137252984,10.547532189255882,1.3950158943813502,1.3936973224928213,0.7782617629189028,0.28739678433300503
S058R02,7.667369199938133,10.570746239891692,0.6490792533673337,1.3786666540039556,0.7540182316534724,0.2938258054457714
S059R02,7.241426031441104,10.908505669708747,1.5344813000564295,1.5064029684686104,1.0313563499697485,0.2399762151931717
S060R02,7.020018248865705,10.293596532320516,1.3644976328123777,1.4663204805747843,0.9232517236135941,0.265000465045202
S061R02,7.637240880833738,9.965509264833221,1.3341209012317026,1.3048572672157634,0.6546462107881476,0.353573234300307
S062R02,7.737730731502426,10.508888631635289,1.3971334838338674,1.358135737245381,0.7233449040890141,0.30570214906452037
S063R02,6.628698148534734,10.223203246775464,0.9823762695705446,1.5422641094368268,1.1547098363189583,0.2442297606198283
S064R02,7.45344572979541,10.130723587356654,1.7987212859463955,1.3592000203152659,0.7248708265159007,0.3147348279975619
S065R02,7.288371442943122,10.135117534367993,1.567074427564732,1.3905874053909806,0.773112324189311,0.2987976896610797
S066R02,7.1450130212443534,10.238062880306213,2.2092626448435073,1.4328963222131657,0.8499733292201125,0.2783150914196049
S067R02,7.710419569662333,10.952405295550859,1.1684029437448669,1.4204681336207108,0.8257685292223464,0.26723779117638197
S068R02,6.962614362558971,10.64684344910964,1.6098545401924984,1.5291444987047371,1.1059739202458736,0.23899265057314645
S069R02,7.991856183186823,10.653168820071265,1.9445620387047122,1.333003069109687,0.6891591288769214,0.31632429780356264
S070R02,6.915330922980444,10.17245851108111,1.6286494720584883,1.4710009722422472,0.9346076676968263,0.26616077749585504
S071R02,7.029053429283965,10.14955272426614,1.2805299062446454,1.4439430324973435,0.8727875764051769,0.27620499785373476
S072R02,7.545325910835304,9.668901134394531,1.753451545356077,1.281442478251299,0.6285456462515193,0.38115926351956003
S073R02,7.538759196133822,10.44891359646768,1.0817992931263465,1.3860256475397572,0.7656869141575725,0.2932418543577085
S074R02,7.510410101891492,10.411770131301088,1.3634407566882512,1.3863117978975463,0.7661482972303565,0.2940000444979589
S075R02,7.092990225844322,9.568493150469386,1.6385104893347964,1.349006955572167,0.7105264574868162,0.336077639757658
S076R02,7.885189213967931,10.248462981640005,0.6503598573625646,1.299710470293565,0.6487184466680975,0.34925057159763995
S077R02,6.555716078409682,9.72609081227783,1.87125859261101,1.483604643024326,0.9667342780007827,0.2724517447149371
S078R02,7.34831464472018,9.897964699570826,1.4763877008418693,1.3469707243255553,0.7077315033186102,0.3279064751739111
S079R02,7.299093716215409,10.404320510791543,1.5275619516428736,1.4254263495312673,0.8352482276218353,0.2773750604273898
S080R02,7.433088986737689,10.476588481447667,1.3437275818631114,1.4094528533346324,0.8054994045914926,0.2822068978683024
S081R02,7.195857936279782,10.200008536294051,1.7101356132629888,1.4174833114572851,0.8201705584125369,0.28537586255451686
S082R02,7.096403528599404,10.319908937143763,1.7383483528958639,1.4542449418995447,0.8952705034423929,0.26856413252557426
S083R02,6.855032040829904,10.539705580838818,1.5114966270787051,1.5375136860137606,1.1365234887909341,0.23896726720476022
S084R02,7.4822150807830425,10.35497586827496,1.7443606290487519,1.3839452296513337,0.7623499217848178,0.29649301062457756
S085R02,7.461650750593613,10.64576905307782,1.240246070587612,1.4267310825598336,0.8377811508248493,0.27143536604828844
S086R02,7.203990606150415,10.699786083753802,1.6048445235240663,1.4852581948980954,0.9711265700694603,0.2502630591593201
S087R02,7.375398965292816,9.79123853784869,1.6552302792058882,1.327553747793759,0.6821850324528839,0.3429543961924667
S088R02,4.928177660816898,11.22560286849831,1.633206594051908,2.2778405408861713,-0.6985915923025202,0.14711452784650764
S089R02,7.0700242080675375,9.836847360168115,1.525815574258971,1.3913456405062066,0.774361216017896,0.3061077852827745
S090R02,7.298674481241431,10.55723386214114,1.1993763625920935,1.4464590644883044,0.8781670646588023,0.26605938570022636
S091R02,7.0753850340958815,10.367602466636834,1.0767668033119375,1.4653057631034838,0.9208286172907063,0.26369795977915644
S092R02,7.200397390127187,10.163807447828601,1.6745973729487837,1.4115620148638863,0.8092988929814844,0.2887327758884194
S093R02,7.583574150959113,10.564862859756289,1.6848371782812754,1.3931244884603817,0.7773078530035273,0.2872499478348382
S094R02,6.966514446926971,10.808095544653387,1.5622688114854406,1.5514351727815612,1.1917167725348703,0.23033083512448416
S095R02,7.780242668382703,11.520519348674334,1.8685755707339151,1.4807403624428506,0.959226280251066,0.2358336673283366
S096R02,7.097969925046438,10.630496377073602,1.5258483343658074,1.4976812369353696,1.005557081276507,0.2479834941931495
S097R02,7.4975764711137165,10.98993270227699,1.3536028771171658,1.4657980141474312,0.9220023922612398,0.2504786502252142
S098R02,7.667954649711537,10.485586476660677,1.3592394618171852,1.367455463114292,0.7369393878769805,0.3014198235853041
S099R02,6.525876253749883,10.342443574203317,1.1219269184139906,1.5848359932139946,1.3526485158195378,0.23166556334280797
S100R02,7.570861025344782,10.485152339678946,1.207710769358461,1.384935254336074,0.7639341124220477,0.29288654890158794
S101R02,7.320879970000605,11.048814479576974,1.3402115866980135,1.5092194551546596,1.039998107124338,0.2365221120939733
S102R02,7.301788311244096,10.038644403739006,1.403027530228422,1.374819972290952,0.7480656980546522,0.3089417544136842
S103R02,6.497157609183179,9.649185700257245,1.2328559464803461,1.4851395457328822,0.9708099734707686,0.2738204567604787
S104R02,7.564413604229009,10.176231886247844,1.8269946293816084,1.345277032519567,0.7054241058534915,0.32135552573180337
S105R02,6.595118997295921,10.006019745670175,1.9074820956844192,1.517185626183965,1.0653184731309198,0.25569557100514406
S106R02,7.338556796285364,10.267236220865279,1.6079993562736479,1.3990811144314308,0.7873487701491343,0.2916574797955983
S107R02,7.08387165038973,10.264244041690443,1.7247747159611397,1.4489596294599352,0.8835838416041136,0.2717116350409805
S108R02,7.46490315416731,10.434115213365189,1.041923463413722,1.3977562733068152,0.7850920174851955,0.2882498915996537
S109R02,6.882272070780453,11.398178161579452,1.6033671450951419,1.6561650054451993,1.167250309810508,0.19936577397937427
